unique,Date,ALK,ALKB,ALKCACO3,ALPHA,AS,B,BA,BR,CA,CHLORATE,CL,CR6,DBCP,DCE11,F,FE,K,MAGNESIUM,MG,MN,NO3N,PCATE,PCE,PFBSA,PFBTA,PFDA,PFHA,PFHPA,PFHXA,PFHXS,PFHXSA,PFNA,PFNDCA,PFOA,PFOS,PFPA,PH,SC,SO4,TCE,TCPR123,TDS,THM,TOCH,U,V,allpfas,SUMPFAS,SCREEN LENGTH (FT),TOP OF SCREEN (FT),WELL DEPTH (FT),LATITUDE,LONGITUDE
well_0,2019-05-28,,,,,,,,,,,,,,,,,,,,,,,,0.27421815216595813,,,,,,,,,,0.22577683567213416,0.5273802654053885,,,,,,,,,,,,0.4499990594017626,0.5030848433807225,49.32184014480017,,,34.084912884292564,-118.07848485747752
well_0,2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22826897771754734,0.7468269089469171,,,,,,,,,,,,0.48523453483700785,0.6691044299546404,,,,33.98050594528108,-118.07271884162068
well_0,2019-08-22,,,,,,,,,,,,,,,,,,,,,,,,0.5649708087854168,,-0.1762142451876615,,-0.5830999639761352,-0.9013273747497152,-0.34129777856161975,,-0.0742583590951492,,0.22861062961426837,0.6036582123756733,,,,,,,,,,,,0.5891024838597344,0.5659241486793836,,,,34.01674825886492,-118.10041713682057
well_1,2019-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2842102780054074,,,,,,,,,,,,,-1.729476112946108,-1.7112488534862624,,,,33.42526743833293,-117.64214967800865
well_10,2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.246548648351568,-1.259538942924216,,,,-1.2644875210718118,-1.191726927028223,,,,,,,,,,,,-1.1254470385635575,-1.0688922511412127,,,,34.04895058900535,-117.34012277894584
well_100,2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5892367974870534,,,,,,,,,,,,0.1301625385552542,0.2977959717531271,69.24536885256589,15.374212545786346,,35.504700807724944,-120.70472750037808
well_100,2019-05-08,,,,,,,,,,,,,,,,,,,,,,,,-0.30309680136925143,,,-0.35986504783473156,-0.34662804135608655,-0.3358464651013256,-0.35714883111865703,-0.6147686777599886,0.5486612107651208,,0.6383747519009109,0.4096168572418711,,,,,,,,,,,,0.6913273444894548,0.5526412245866937,74.04809764150946,21.053616844916014,,35.47068061420902,-120.6595010056048
well_100,2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,0.4047546770369451,,,,-0.18647152949214224,0.32312237565292945,-0.27746709703419054,,0.7108651958427001,,0.4069694898873347,0.44994601754516744,,,,,,,,,,,,0.5999652102332405,0.4975432391355105,,,,35.54921820252873,-120.63979915273833
well_101,2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,0.558556552828967,,-1.3322257563257218,,,,2.4904676034398334,1.5931766357545334,2.83629285921454,-0.8043561548085956,-0.1332335802722693,0.6979338045042424,,,,,,,,,,,,1.3609250165278426,0.5677320984172752,,,,35.33477644000662,-120.64121202292304
well_101,2019-10-14,,,,,,,,,,,,,,,,,,,,,,,,1.0815671443648511,,,,,,2.7754685254188205,,3.0679461059823043,,-0.051756359157125176,0.8205121030573183,,,,,,,,,,,,1.084819672187997,0.6827106416187892,,,,35.25355206831259,-120.62505415138317
well_102,2019-08-06,,,,,,,,,,,,,,,,,,,,,,,,-1.059139172097244,0.06912968608423403,,1.150095178080873,0.1883107630474977,,,-1.3572842801346259,,,-0.6220605258219112,,0.010447773675761331,,,,,,,,,,,0.8485978925889726,-1.1660438836246345,12.197738859432604,201.63993874114922,,39.69065219514843,-121.69813502532689
well_103,2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0312644004349776,,,,,-0.74744249233303,,,,,,,,,,,,,-1.3111330158149224,-1.2794800948269611,,,,33.99013066154796,-117.60327417763678
well_104,2017-12-06,,,,,,,,,,,,-0.35319576404958236,,,,,,,,,1.3222477875515397,,,,,,,,,,,,,2.1358526657171515,1.4988048498477713,,,,,,,0.9006683004454704,,,,0.3496559600460633,1.4527082702415588,1.6920904334687323,92.54660106888203,99.34381291028275,,33.881589665657295,-117.61511407761614
well_104,2018-03-07,,,,,,,,,,,,-0.6586254218939102,,,,,,,,,1.0431041307774864,,,,,,,,,,,,,2.6102723014090667,1.7477753025854015,,,,,,0.3790467174644828,0.9013928884542198,,,,0.7330719369101608,1.742341178153935,2.00428706650976,94.15240814647647,95.66560528797058,,33.942134788119304,-117.54121271374831
well_104,2018-06-20,,,,,,,,,,,,,,,,,,,,,0.8694745669032595,,,,,,,,,,,,,2.670042934406442,1.796088871914406,,,,,,0.25540004558335744,0.8931651526534273,,,,0.5380569291051334,1.787887901859997,2.0635161701448004,97.74915538954788,105.90358243901596,,33.90213692375749,-117.59504994721651
well_104,2018-09-19,,,,,,,,,,,,,,,,,,,,,0.8995217552388991,,,,,,,,,,,,,2.439977652866654,1.7015674328393722,,,,,,-0.022958083711962316,0.8473808758176058,,,,-0.5118319778240806,1.6439335877264414,1.9122176031555675,89.65616599880113,97.85660067624322,,33.846053941308156,-117.64871621348381
well_104,2018-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7183676290600847,1.935320966637316,,,,,,-0.16769729422421822,0.8005765343080512,,,,0.34855016494695146,1.8515195451953017,2.140704267853222,90.96220134590078,97.95517503975124,,33.91456059937685,-117.52480931276563
